"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"2363cbab-f2be-4aef-9239-e25bebf26fb2","Domar a la divina garza - Sergio Pitol.txt","Calvino","char-offset:17349","PERSON","","","","","","","","#creación literaria|#narrativa|#novelista","Italo Calvino (Santiago de Las Vegas, Provincia de La Habana, 15 de octubre de 1923 - Siena, 19 de septiembre de 1985) fue un periodista y escritor italiano, principalmente de cuentos y novelas. Entre sus obras más conocidas se incluyen la trilogía Nuestros antepasados (1952–1959), la colección de cuentos de Las cosmicómicas (1965) y las novelas Ciudades invisibles (1972) y Si una noche de invierno un viajero (1979).","",""
"48290531-5930-409c-9c1b-d93377f44b89","Domar a la divina garza - Sergio Pitol.txt","Calvino","char-offset:17663","PERSON","","","","","","","","#creación literaria|#narrativa|#novelista","Italo Calvino (Santiago de Las Vegas, Provincia de La Habana, 15 de octubre de 1923 - Siena, 19 de septiembre de 1985) fue un periodista y escritor italiano, principalmente de cuentos y novelas. Entre sus obras más conocidas se incluyen la trilogía Nuestros antepasados (1952–1959), la colección de cuentos de Las cosmicómicas (1965) y las novelas Ciudades invisibles (1972) y Si una noche de invierno un viajero (1979).","",""
"3dde463a-29cc-44ca-bfb5-76e797350506","Domar a la divina garza - Sergio Pitol.txt","Rosas con Dante","char-offset:18082","","","","","","","","","#creación literaria|#narrativa|#personajes|#puesta en abismo","Analogía y referencia al personaje recientemente mencionado","",""
"d904e376-2bd5-471e-8e1f-8c6ec277bb44","Domar a la divina garza - Sergio Pitol.txt","un personaje como Pepe Brozas","char-offset:18152","PERSON","","","","","","","","#creación literaria|#narrativa|#novela","Personaje literario. ","",""
"d220add8-a383-4978-9a96-5b4e304adc0c","Domar a la divina garza - Sergio Pitol.txt","la obra","char-offset:18334","EVENT","","","","","","","","#creación literaria|#narrativa|#intertexto","Proceso creativo","",""
"533d6497-aacc-454a-9ac7-68464f832dfa","Domar a la divina garza - Sergio Pitol.txt","Gogol","char-offset:18526","PERSON","","","","","","","","#creación literaria|#narrativa|#carnaval|#intertexto","Escrior Ruso del Siglo XIX|Nicolás Gógol; Soróchintsy, Gobernación de Poltava, 1 de abril de 1809- Moscú; 4 de marzo de 1852) fue un escritor ruso​ de origen ucraniano. Cultivó varios géneros, pero fue notablemente conocido como dramaturgo, novelista y escritor de cuentos cortos. Su obra más conocida es, probablemente, Almas muertas, considerada por muchos como la primera novela moderna en lengua rusa.","",""
"7dbb13b6-d48c-4a20-a35f-5468471fb303","Domar a la divina garza - Sergio Pitol.txt","la fiesta","char-offset:18850","","","","","","","","","#creación literaria|#carnaval|#novela","Conexión con el carnaval, el ritual","",""
"8d052091-3521-466e-a96a-2d0dd6838c26","Domar a la divina garza - Sergio Pitol.txt","viejo novelista","char-offset:18934","PERSON","","","","","","","","#creación literaria|#narrativa|#puesta en abismo","Personaje narrador","",""
"7a2c3b00-3d78-4bed-ae83-f66c31ade310","Domar a la divina garza - Sergio Pitol.txt","Domar a la divina garza","char-offset:19071","EVENT","","","","","","","","#creación literaria|#puesta en abismo|#narrativa","Obra que escribe el viejo novelista y que estamos leyendo","",""
"b264d81c-2fd4-47d0-8208-e70b66f8847c","Domar a la divina garza - Sergio Pitol.txt","la fiesta","char-offset:19151","","","","","","","","","#creación literaria|#carnaval|#novela","Conexión con el carnaval, el ritual","",""
